composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,band_gap
Sn1 Te1,50.0,52.0,2.0,51.0,1.0,50.0,80.0,90.0,10.0,85.0,5.0,80.0,118.71,127.6,8.89,123.155,4.445,118.71,505.08,722.66,217.58,613.87,108.79,505.08,14.0,16.0,2.0,15.0,1.0,14.0,5.0,5.0,0.0,5.0,0.0,5.0,138.0,139.0,1.0,138.5,0.5,138.0,1.96,2.1,0.1400000000000001,2.03,0.07,1.96,2.0,2.0,0.0,2.0,0.0,2.0,2.0,4.0,2.0,3.0,1.0,2.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16.0,2.0,15.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1.0,2.0,33.285,34.7633333333,1.4783333333000002,34.02416666665,0.7391666666500001,33.285,0.0,0.464,0.464,0.232,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,152.0,11.0,146.5,5.5,141.0,0.3
Ag1 Al1 Te2,13.0,52.0,39.0,41.0,14.0,52.0,65.0,90.0,25.0,79.5,10.5,90.0,26.9815386,127.6,100.6184614,97.51243465,35.265448025000005,127.6,722.66,1234.93,512.2700000000001,903.43,180.77000000000004,722.66,11.0,16.0,5.0,14.0,2.0,16.0,3.0,5.0,2.0,4.5,0.75,5.0,121.0,145.0,24.0,135.5,7.25,138.0,1.61,2.1,0.49,1.935,0.165,2.1,1.0,2.0,1.0,1.75,0.375,2.0,0.0,4.0,4.0,2.25,1.75,4.0,0.0,10.0,10.0,7.5,3.75,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,13.0,11.5,4.5,16.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,2.25,1.375,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.5,1.25,2.0,16.33,34.7633333333,18.4333333333,25.58416666665,9.179166666649998,34.7633333333,0.0,0.464,0.464,0.232,0.232,0.464,0.0,0.0,0.0,0.0,0.0,0.0,152.0,225.0,73.0,188.5,36.5,152.0,1.9
Eu4 Te7,52.0,63.0,11.0,56.0,5.090909090909091,52.0,25.0,90.0,65.0,66.36363636363636,30.08264462809917,90.0,127.6,151.964,24.364000000000004,136.45963636363638,11.275900826446287,127.6,722.66,1095.0,372.34,858.0563636363636,172.32264462809917,722.66,3.0,16.0,13.0,11.272727272727272,6.016528925619835,16.0,5.0,6.0,1.0,5.363636363636363,0.4628099173553718,5.0,138.0,198.0,60.0,159.8181818181818,27.768595041322317,138.0,1.185,2.1,0.915,1.767272727272727,0.4234710743801653,2.1,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.5454545454545454,1.851239669421488,4.0,0.0,10.0,10.0,6.363636363636363,4.628099173553719,10.0,0.0,7.0,7.0,2.5454545454545454,3.239669421487604,0.0,9.0,16.0,7.0,13.454545454545457,3.239669421487603,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2727272727272727,0.9256198347107438,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,2.5454545454545454,3.239669421487604,0.0,2.0,7.0,5.0,3.8181818181818175,2.31404958677686,2.0,34.7633333333,36.46,1.696666666700004,35.380303030281816,0.7852341597950431,34.7633333333,0.0,0.464,0.464,0.2952727272727273,0.2147438016528925,0.464,0.0,0.0,0.0,0.0,0.0,0.0,152.0,229.0,77.0,180.0,35.63636363636363,152.0,0.31
Pr1 In3 S6,16.0,59.0,43.0,30.2,17.04,16.0,17.0,88.0,71.0,77.0,13.2,88.0,32.065,140.90765,108.84265,67.77516499999999,42.852198,32.065,388.36,1204.0,815.64,482.341,144.3318,388.36,3.0,16.0,13.0,13.8,2.64,16.0,3.0,6.0,3.0,3.9,1.08,3.0,105.0,203.0,98.0,125.9,25.08,105.0,1.13,2.58,1.4500000000000002,2.195,0.4620000000000001,2.58,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.7,1.56,4.0,0.0,10.0,10.0,3.0,4.2,0.0,0.0,3.0,3.0,0.3,0.54,0.0,5.0,13.0,8.0,8.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.7,1.38,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,1.1,1.98,0.0,2.0,11.0,9.0,3.8,2.16,2.0,24.26,35.675,11.414999999999996,26.317625,1.871475,25.786875,0.0,2.202,2.202,1.3212,1.05696,2.202,0.0,0.0,0.0,0.0,0.0,0.0,70.0,194.0,124.0,103.1,39.72,70.0,1.14
La2 Yb1 Cu1 Se5,29.0,70.0,41.0,42.55555555555556,12.51851851851852,34.0,13.0,89.0,76.0,63.77777777777778,28.07407407407408,89.0,63.546,173.054,109.508,101.0234377777778,32.843250370370384,78.96,494.0,1357.77,863.77,811.7522222222223,353.058024691358,494.0,3.0,16.0,13.0,11.11111111111111,5.432098765432098,16.0,4.0,6.0,2.0,4.666666666666667,0.8888888888888888,4.0,120.0,207.0,87.0,148.11111111111111,34.81481481481482,120.0,1.1,2.55,1.4499999999999995,2.0122222222222224,0.5975308641975308,2.55,1.0,2.0,1.0,1.8888888888888888,0.1975308641975309,2.0,0.0,4.0,4.0,2.2222222222222223,1.9753086419753088,4.0,0.0,10.0,10.0,6.888888888888889,4.148148148148148,10.0,0.0,14.0,14.0,1.5555555555555556,2.765432098765432,0.0,3.0,16.0,13.0,12.555555555555555,4.592592592592593,16.0,0.0,1.0,1.0,0.1111111111111111,0.1975308641975308,0.0,0.0,2.0,2.0,1.1111111111111112,0.9876543209876544,2.0,0.0,9.0,9.0,2.0,3.111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,3.2222222222222223,2.567901234567901,2.0,11.07,36.8975,25.8275,27.620555555555555,5.567407407407406,25.92,0.0,0.799,0.799,0.4438888888888889,0.3945679012345679,0.799,0.0,0.0,0.0,0.0,0.0,0.0,14.0,225.0,211.0,100.88888888888889,96.54320987654322,14.0,1.15
Na1 La2 Ta1 O6,8.0,73.0,65.0,24.6,22.640000000000004,8.0,2.0,87.0,85.0,59.8,32.64,87.0,15.9994,180.94788,164.94848,57.774498928,57.08706464320001,15.9994,54.8,3290.0,3235.2,637.567,752.6598,54.8,1.0,16.0,15.0,10.8,6.24,16.0,2.0,6.0,4.0,3.3,1.62,2.0,66.0,207.0,141.0,114.6,58.32000000000001,66.0,0.93,3.44,2.51,2.527,1.0956,3.44,1.0,2.0,1.0,1.9,0.18,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,3.0,3.0,0.5,0.7,0.0,0.0,14.0,14.0,1.4,2.52,0.0,1.0,19.0,18.0,6.2,2.56,6.0,0.0,1.0,1.0,0.1,0.18,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,9.0,9.0,2.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,3.8,2.72,2.0,9.105,36.8975,27.7925,17.578833333330003,10.168599999996,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,91.8,95.76,12.0,4.5
Ag2 S1,16.0,47.0,31.0,36.66666666666666,13.77777777777778,47.0,65.0,88.0,23.0,72.66666666666667,10.222222222222223,65.0,32.065,107.8682,75.8032,82.60046666666666,33.690311111111114,107.8682,388.36,1234.93,846.57,952.74,376.2533333333333,1234.93,11.0,16.0,5.0,12.666666666666666,2.222222222222222,11.0,3.0,5.0,2.0,4.333333333333333,0.888888888888889,5.0,105.0,145.0,40.0,131.66666666666666,17.777777777777782,145.0,1.93,2.58,0.6500000000000001,2.1466666666666665,0.2888888888888889,1.93,1.0,2.0,1.0,1.3333333333333333,0.4444444444444444,1.0,0.0,4.0,4.0,1.3333333333333333,1.777777777777778,0.0,0.0,10.0,10.0,6.666666666666667,4.444444444444444,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,5.0,9.333333333333334,2.222222222222222,11.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,1.0,0.0,2.0,2.0,0.6666666666666666,0.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.3333333333333333,0.4444444444444444,1.0,16.33,25.786875,9.456875,19.482291666666665,4.203055555555555,16.33,0.0,2.202,2.202,0.734,0.9786666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,225.0,155.0,173.33333333333334,68.88888888888889,225.0,0.87
B1 Sb1,5.0,51.0,46.0,28.0,23.0,5.0,72.0,85.0,13.0,78.5,6.5,72.0,10.811,121.76,110.949,66.2855,55.474500000000006,10.811,903.78,2348.0,1444.22,1625.89,722.11,903.78,13.0,15.0,2.0,14.0,1.0,13.0,2.0,5.0,3.0,3.5,1.5,2.0,84.0,139.0,55.0,111.5,27.5,84.0,2.04,2.05,0.0099999999999997,2.045,0.0049999999999998,2.04,2.0,2.0,0.0,2.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,12.0,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,4.0,1.0,3.0,7.1725,31.56,24.3875,19.36625,12.19375,7.1725,0.0,1.524,1.524,0.762,0.762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,166.0,0.0,166.0,0.0,166.0,2.6
Ag1 Tl1 Te2,47.0,81.0,34.0,58.0,11.5,52.0,65.0,90.0,25.0,80.25,9.75,90.0,107.8682,204.3833,96.5151,141.86287499999997,31.260212499999987,127.6,577.0,1234.93,657.9300000000001,814.3125,210.30875000000003,722.66,11.0,16.0,5.0,14.0,2.0,16.0,5.0,6.0,1.0,5.25,0.375,5.0,138.0,145.0,7.0,141.5,3.5,138.0,1.62,2.1,0.48,1.9375,0.1625,2.1,1.0,2.0,1.0,1.75,0.375,2.0,0.0,4.0,4.0,2.25,1.75,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,3.5,5.25,0.0,11.0,27.0,16.0,17.5,4.75,16.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,2.25,1.375,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.5,1.25,2.0,16.33,34.7633333333,18.4333333333,28.19166666665,6.571666666649999,34.7633333333,0.0,0.464,0.464,0.232,0.232,0.464,0.0,0.0,0.0,0.0,0.0,0.0,152.0,225.0,73.0,180.75,28.75,152.0,0.1
Li2 Fe1 Sn1 S4,3.0,50.0,47.0,18.25,9.875,16.0,1.0,88.0,87.0,61.125,31.59375,88.0,6.941,118.71,111.769,39.587125,23.8451875,32.065,388.36,1811.0,1422.64,597.1125,303.47187499999995,388.36,1.0,16.0,15.0,11.0,5.75,16.0,2.0,5.0,3.0,3.125,0.6875,3.0,105.0,139.0,34.0,118.375,13.375,105.0,0.98,2.58,1.6,2.00875,0.57125,2.58,1.0,2.0,1.0,1.75,0.375,2.0,0.0,4.0,4.0,2.25,1.75,4.0,0.0,10.0,10.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,13.0,6.0,2.5,6.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,4.0,4.0,1.5,1.125,2.0,0.0,4.0,4.0,0.5,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.25,0.875,2.0,10.73,33.285,22.555,22.543645833325,5.928567708343749,25.786875,0.0,2.202,2.202,1.101,1.101,2.202,0.0,2.1106628,2.1106628,0.26383285,0.4617074875,0.0,70.0,229.0,159.0,138.5,68.5,70.0,1.86
Zn1 Ge1 N2,7.0,32.0,25.0,19.0,12.0,7.0,69.0,82.0,13.0,78.0,4.5,82.0,14.0067,72.64,58.6333,41.50834999999999,27.50165,14.0067,63.05,1211.4,1148.35,507.545,444.495,63.05,12.0,15.0,3.0,14.0,1.0,15.0,2.0,4.0,2.0,3.0,1.0,2.0,71.0,122.0,51.0,96.0,25.0,71.0,1.65,3.04,1.39,2.435,0.6050000000000001,3.04,2.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,2.0,1.0,3.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,9.0,9.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.5,1.25,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.5,1.25,3.0,13.96,23.005,9.044999999999998,16.625625,3.189687499999999,14.76875,0.0,6.437,6.437,3.3142500000000004,3.12275,6.437,0.0,0.0,0.0,0.0,0.0,0.0,194.0,225.0,31.0,201.75,11.625,194.0,2.9
Ga0.65 Al0.35 As1,13.0,33.0,20.0,28.85,5.547499999999999,33.0,73.0,84.0,11.0,78.825,5.175,84.0,26.9815386,74.9216,47.9400614,64.842544255,13.251351979249993,74.9216,302.91,1090.0,787.0899999999999,806.803,327.53045,1090.0,13.0,15.0,2.0,14.0,1.0,15.0,3.0,4.0,1.0,3.825,0.2887499999999999,4.0,119.0,122.0,3.0,120.325,1.325,119.0,1.61,2.18,0.5700000000000001,1.96,0.22,2.18,2.0,2.0,0.0,2.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,0.0,10.0,10.0,8.25,2.8875,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,12.0,12.25,3.2375,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,4.0,1.0,3.0,16.48,22.175,5.695,20.1001875,2.0748125,22.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,225.0,161.0,143.175,51.46375,166.0,2.0
Na1 In1 I4 O12,8.0,53.0,45.0,20.444444444444443,17.641975308641975,8.0,2.0,96.0,94.0,83.61111111111111,10.02469135802469,87.0,15.9994,126.90447,110.90507,46.52324718222222,43.31329378765432,15.9994,54.8,429.75,374.95,166.9788888888889,149.57185185185187,54.8,1.0,17.0,16.0,15.22222222222222,1.827160493827161,16.0,2.0,5.0,3.0,2.888888888888889,1.1851851851851851,2.0,66.0,166.0,100.0,92.0,34.666666666666664,66.0,0.93,3.44,2.51,3.035,0.5399999999999999,3.44,1.0,2.0,1.0,1.9444444444444444,0.1049382716049383,2.0,0.0,5.0,5.0,3.8333333333333335,0.7407407407407406,4.0,0.0,10.0,10.0,2.7777777777777777,4.012345679012345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,16.0,8.555555555555555,4.246913580246914,6.0,0.0,1.0,1.0,0.0555555555555555,0.1049382716049382,0.0,0.0,5.0,5.0,1.8333333333333333,0.574074074074074,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,1.8888888888888888,0.4938271604938272,2.0,9.105,43.015,33.91,18.601296296294446,12.66172839505926,9.105,0.0,1.062,1.062,0.236,0.3671111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,42.66666666666666,40.888888888888886,12.0,4.25
Ga1 Se1,31.0,34.0,3.0,32.5,1.5,31.0,74.0,89.0,15.0,81.5,7.5,74.0,69.723,78.96,9.236999999999997,74.3415,4.618499999999997,69.723,302.91,494.0,191.09,398.455,95.545,302.91,13.0,16.0,3.0,14.5,1.5,13.0,4.0,4.0,0.0,4.0,0.0,4.0,120.0,122.0,2.0,121.0,1.0,120.0,1.81,2.55,0.7399999999999998,2.18,0.3699999999999999,1.81,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,2.5,1.5,1.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,16.0,3.0,14.5,1.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.5,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.5,1.5,2.0,18.8575,25.92,7.0625,22.38875,3.53125,18.8575,0.0,0.799,0.799,0.3995,0.3995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,64.0,50.0,39.0,25.0,14.0,2.12
Cd1 Se1,34.0,48.0,14.0,41.0,7.0,34.0,70.0,89.0,19.0,79.5,9.5,70.0,78.96,112.411,33.45100000000001,95.6855,16.725500000000004,78.96,494.0,594.22,100.22000000000004,544.11,50.110000000000014,494.0,12.0,16.0,4.0,14.0,2.0,12.0,4.0,5.0,1.0,4.5,0.5,4.0,120.0,144.0,24.0,132.0,12.0,120.0,1.69,2.55,0.8599999999999999,2.12,0.4299999999999999,1.69,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.0,2.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,4.0,14.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,19.495,25.92,6.425000000000001,22.707500000000003,3.2125000000000004,19.495,0.0,0.799,0.799,0.3995,0.3995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,194.0,180.0,104.0,90.0,14.0,1.9
Cd1 Te1,48.0,52.0,4.0,50.0,2.0,48.0,70.0,90.0,20.0,80.0,10.0,70.0,112.411,127.6,15.188999999999991,120.0055,7.5944999999999965,112.411,594.22,722.66,128.43999999999994,658.44,64.21999999999997,594.22,12.0,16.0,4.0,14.0,2.0,12.0,5.0,5.0,0.0,5.0,0.0,5.0,138.0,144.0,6.0,141.0,3.0,138.0,1.69,2.1,0.4100000000000001,1.895,0.205,1.69,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.0,2.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,4.0,14.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,19.495,34.7633333333,15.268333333299996,27.12916666665,7.634166666649998,19.495,0.0,0.464,0.464,0.232,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,194.0,42.0,173.0,21.0,152.0,1.49
In2 S3,16.0,49.0,33.0,29.2,15.839999999999998,16.0,75.0,88.0,13.0,82.8,6.24,88.0,32.065,114.818,82.753,65.1662,39.72144,32.065,388.36,429.75,41.38999999999999,404.916,19.86719999999999,388.36,13.0,16.0,3.0,14.8,1.44,16.0,3.0,5.0,2.0,3.8,0.96,3.0,105.0,142.0,37.0,119.8,17.759999999999998,105.0,1.78,2.58,0.8,2.26,0.384,2.58,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,2.8,1.44,4.0,0.0,10.0,10.0,4.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,7.0,8.8,3.3600000000000003,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.2,1.44,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.2,1.44,2.0,24.26,25.786875,1.5268749999999969,25.176125000000003,0.7328999999999979,25.786875,0.0,2.202,2.202,1.3212,1.05696,2.202,0.0,0.0,0.0,0.0,0.0,0.0,70.0,139.0,69.0,97.6,33.12,70.0,2.0
Li2 Cd1 Ge1,3.0,48.0,45.0,21.5,18.5,3.0,1.0,79.0,78.0,37.75,36.75,1.0,6.941,112.411,105.47,49.73325,42.79225,6.941,453.69,1211.4,757.71,678.25,266.57500000000005,453.69,1.0,14.0,13.0,7.0,6.0,1.0,2.0,5.0,3.0,3.25,1.25,2.0,120.0,144.0,24.0,130.0,7.0,128.0,0.98,2.01,1.0299999999999998,1.415,0.4349999999999999,0.98,1.0,2.0,1.0,1.5,0.5,1.0,0.0,2.0,2.0,0.5,0.75,0.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,13.0,7.0,6.0,1.0,0.0,1.0,1.0,0.5,0.5,1.0,0.0,4.0,4.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.5,1.25,1.0,16.5933333333,23.005,6.4116666667,18.92166666665,2.3283333333500007,16.5933333333,0.0,0.383,0.383,0.09575,0.143625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,219.25,12.625,229.0,0.99
Os1 Sb2,51.0,76.0,25.0,59.333333333333336,11.111111111111112,51.0,57.0,85.0,28.0,75.66666666666667,12.444444444444445,85.0,121.76,190.23,68.46999999999998,144.58333333333334,30.431111111111107,121.76,903.78,3306.0,2402.2200000000003,1704.5199999999998,1067.6533333333334,903.78,8.0,15.0,7.0,12.666666666666666,3.111111111111111,15.0,5.0,6.0,1.0,5.333333333333333,0.4444444444444443,5.0,139.0,144.0,5.0,140.66666666666666,2.222222222222219,139.0,2.05,2.2,0.1500000000000003,2.1,0.0666666666666668,2.05,2.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,2.0,1.3333333333333333,3.0,6.0,10.0,4.0,8.666666666666666,1.777777777777778,10.0,0.0,14.0,14.0,4.666666666666667,6.222222222222221,0.0,15.0,22.0,7.0,17.333333333333332,3.1111111111111107,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.3333333333333333,3.0,0.0,4.0,4.0,1.3333333333333333,1.777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,3.333333333333333,0.4444444444444445,3.0,14.09,31.56,17.47,25.736666666666665,7.764444444444444,31.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,194.0,28.0,175.33333333333334,12.444444444444448,166.0,0.3
